SPECIES,LATITUDE,LONGITUDE
"Myotis nattereri (Kuhl 1817)",50.87421,-1.3547
"Myotis nattereri (Kuhl 1817)",54.249219999999994,-0.7046399999999999
"Myotis nattereri (Kuhl 1817)",50.916000000000004,-3.07538
"Myotis nattereri (Kuhl 1817)",50.88261,0.18073
"Myotis nattereri (Kuhl 1817)",52.73514,-1.31277
"Myotis nattereri (Kuhl 1817)",52.12426,-1.39524
"Myotis nattereri (Kuhl 1817)",52.212509999999995,-1.1306
"Myotis nattereri (Kuhl 1817)",52.793459999999996,-0.7483
"Myotis nattereri (Kuhl 1817)",50.751290000000004,-3.9788699999999997
"Myotis nattereri (Kuhl 1817)",52.72172,-0.7651600000000001
"Myotis nattereri (Kuhl 1817)",56.07,-4.44
"Myotis nattereri (Kuhl 1817)",50.89125,-0.34498
"Myotis nattereri (Kuhl 1817)",56.51,-5.36
"Myotis nattereri (Kuhl 1817)",52.77564,-0.76364
"Myotis nattereri (Kuhl 1817)",51.80632,-0.9353799999999999
"Myotis nattereri (Kuhl 1817)",57.33,-3.6
"Myotis nattereri (Kuhl 1817)",51.89829,-1.19481
"Myotis nattereri (Kuhl 1817)",53.51811,-1.49624
"Myotis nattereri (Kuhl 1817)",53.1257,-0.05118
"Myotis nattereri (Kuhl 1817)",51.38755,-2.4828099999999997
"Myotis nattereri (Kuhl 1817)",50.802,0.16278
"Myotis nattereri (Kuhl 1817)",52.09877,-2.1255
"Myotis nattereri (Kuhl 1817)",53.393319999999996,-1.9488299999999998
"Myotis nattereri (Kuhl 1817)",54.14971,-0.64651
"Myotis nattereri (Kuhl 1817)",52.070240000000005,-1.3813799999999998
"Myotis nattereri (Kuhl 1817)",56.0,-4.33
"Myotis nattereri (Kuhl 1817)",51.0012,0.5426300000000001
"Myotis nattereri (Kuhl 1817)",52.11168,-0.89891
"Myotis nattereri (Kuhl 1817)",52.9,-3.5
"Myotis nattereri (Kuhl 1817)",52.3,-4.1
"Myotis nattereri (Kuhl 1817)",51.99881,-1.48433
"Myotis nattereri (Kuhl 1817)",52.04335,-1.3963299999999998
"Myotis nattereri (Kuhl 1817)",54.037859999999995,-0.32946
"Myotis nattereri (Kuhl 1817)",50.57805,-4.11285
"Myotis nattereri (Kuhl 1817)",51.989259999999994,-1.3679299999999999
"Myotis nattereri (Kuhl 1817)",53.51818000000001,-1.51132
"Myotis nattereri (Kuhl 1817)",51.998470000000005,-1.4115
"Myotis nattereri (Kuhl 1817)",50.40618,-3.6126300000000002
"Myotis nattereri (Kuhl 1817)",51.9334,-0.27781999999999996
"Myotis nattereri (Kuhl 1817)",51.9528,-1.28114
"Myotis nattereri (Kuhl 1817)",54.24468,-2.77645
"Myotis nattereri (Kuhl 1817)",57.29,-4.05
"Myotis nattereri (Kuhl 1817)",53.97277,-0.92668
"Myotis nattereri (Kuhl 1817)",51.90798,0.1719
"Myotis nattereri (Kuhl 1817)",52.632509999999996,0.78399
"Myotis nattereri (Kuhl 1817)",54.23319,-3.09841
"Myotis nattereri (Kuhl 1817)",55.477709999999995,-1.61395
"Myotis nattereri (Kuhl 1817)",52.0,-3.9
"Myotis nattereri (Kuhl 1817)",50.81605,-4.36492
"Myotis nattereri (Kuhl 1817)",52.88881,-0.44828999999999997
"Myotis nattereri (Kuhl 1817)",54.0936,-0.46484
"Myotis nattereri (Kuhl 1817)",55.67,-3.95
"Myotis nattereri (Kuhl 1817)",55.16358,-1.75825
"Myotis nattereri (Kuhl 1817)",52.7761,-0.8081
"Myotis nattereri (Kuhl 1817)",51.03695,-1.53786
"Myotis nattereri (Kuhl 1817)",54.73025,-1.2639200000000002
"Myotis nattereri (Kuhl 1817)",51.71099,-1.45866
"Myotis nattereri (Kuhl 1817)",51.06392,-1.53759
"Myotis nattereri (Kuhl 1817)",52.559630000000006,-0.74022
"Myotis nattereri (Kuhl 1817)",54.11165,-1.58085
"Myotis nattereri (Kuhl 1817)",50.73518,-3.86482
"Myotis nattereri (Kuhl 1817)",52.48059,-3.0689599999999997
"Myotis nattereri (Kuhl 1817)",50.48969,-4.02431
