SPECIES,LATITUDE,LONGITUDE
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.281613,-7.392075
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.281613,-7.392075
M.nattereri,41.281613,-7.392075
M.nattereri,41.281613,-7.392075
M.nattereri,41.281613,-7.392075
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.282413,-7.391769999999999
M.nattereri,41.281613,-7.392075
M.nattereri,41.281613,-7.392075
M.nattereri,41.281613,-7.392075
M.nattereri,41.281613,-7.392075
M.nattereri,41.281587,-7.392161
M.nattereri,41.462142,-7.287855
M.nattereri,41.281613,-7.392075
M.nattereri,41.281587,-7.392161
M.nattereri,41.281587,-7.392161
M.nattereri,41.281587,-7.392161
M.nattereri,41.462142,-7.287855
M.nattereri,41.281587,-7.392161
M.nattereri,41.281587,-7.392161
M.nattereri,41.33623,-7.336447
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.33623,-7.336447
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.462142,-7.287855
M.nattereri,41.338007,-7.316367999999999
M.nattereri,41.338007,-7.316367999999999
M.nattereri,41.462142,-7.287855
M.nattereri,41.336914,-7.326058
M.nattereri,41.287812,-7.391336
M.nattereri,41.287812,-7.391336
M.nattereri,41.287812,-7.391336
M.nattereri,41.287812,-7.391336
M.nattereri,41.287812,-7.391336
M.nattereri,41.287812,-7.391336
M.nattereri,41.287812,-7.391336
M.nattereri,41.336914,-7.326058
M.nattereri,41.287812,-7.391336
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.336914,-7.326058
M.nattereri,41.327384,-7.359728
M.nattereri,41.336914,-7.326058
M.nattereri,41.336914,-7.326058
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327384,-7.359728
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327384,-7.359728
M.nattereri,41.327525,-7.36872
M.nattereri,41.327384,-7.359728
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.242292,-7.391901
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.33809,-7.315339
M.nattereri,41.242292,-7.391901
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.327525,-7.36872
M.nattereri,41.239478000000005,-7.422625
M.nattereri,41.327525,-7.36872
M.nattereri,41.337439,-7.323913
M.nattereri,41.337439,-7.323913
M.nattereri,41.230339,-7.422733
M.nattereri,41.239478000000005,-7.422625
M.nattereri,41.230339,-7.422733
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.33809,-7.315339
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.28702,-7.392637
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.468871,-7.27612
M.nattereri,41.28702,-7.392637
M.nattereri,41.328753000000006,-7.358362
M.nattereri,41.333308,-7.3411740000000005
M.nattereri,41.334162,-7.339602
M.nattereri,41.334162,-7.339602
M.nattereri,41.334162,-7.339602
M.nattereri,41.328753000000006,-7.358362
M.nattereri,41.333308,-7.3411740000000005
M.nattereri,41.334162,-7.339602
M.nattereri,41.334162,-7.339602
M.nattereri,41.334162,-7.339602
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.334162,-7.339602
M.nattereri,41.334162,-7.339602
M.nattereri,41.334162,-7.339602
M.nattereri,41.334162,-7.339602
M.nattereri,41.334162,-7.339602
M.nattereri,41.334162,-7.339602
M.nattereri,41.334162,-7.339602
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.334162,-7.339602
M.nattereri,41.334162,-7.339602
M.nattereri,41.334162,-7.339602
M.nattereri,41.334162,-7.339602
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.334162,-7.339602
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.335840999999995,-7.336377000000001
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.286708000000004,-7.391757000000001
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.286708000000004,-7.391757000000001
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.336538,-7.336753999999999
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.286691,-7.3919369999999995
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.286691,-7.3919369999999995
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.286691,-7.3919369999999995
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.334309999999995,-7.336268
M.nattereri,41.286691,-7.3919369999999995
M.nattereri,41.242688,-7.393316
M.nattereri,41.286691,-7.3919369999999995
M.nattereri,41.286691,-7.3919369999999995
M.nattereri,41.242688,-7.393316
M.nattereri,41.242688,-7.393316
M.nattereri,41.242688,-7.393316
M.nattereri,41.242688,-7.393316
M.nattereri,41.242688,-7.393316
M.nattereri,41.242688,-7.393316
M.nattereri,41.242688,-7.393316
M.nattereri,41.242688,-7.393316
M.nattereri,41.242688,-7.393316
M.nattereri,41.242688,-7.393316
M.nattereri,41.242688,-7.393316
M.nattereri,41.242688,-7.393316
M.nattereri,41.242688,-7.393316
M.nattereri,41.242688,-7.393316
